species,mode1,mode2,same_mode,frequency_cm1,wavelength_nm,intensity_km_mol,eps_L_per_mol_cm,t2_au,tx,ty,tz
D2O-HDO-DD,2,6,False,1286.9,7770.6115471287585,0.04,8e-06,2e-06,-0.00022,0.000974,-0.001009
D2O-HDO-DD,2,7,False,1511.64,6615.331692731073,0.1,2e-05,4e-06,-0.001661,-1e-06,-0.001161
D2O-HDO-DD,2,8,False,2760.88,3622.033554518849,0.47,9.3e-05,1e-05,-0.001951,-0.000141,-0.00258
D2O-HDO-DD,2,9,False,2845.64,3514.147959685695,0.19,3.8e-05,4e-06,-0.001353,-0.000346,-0.001481
D2O-HDO-DD,2,10,False,2878.4,3474.1523068371316,0.01,2e-06,0.0,0.000339,8.7e-05,0.000249
D2O-HDO-DD,2,11,False,3830.92,2610.3390308333246,0.65,0.000128,1e-05,0.002529,0.001611,-0.001215
D2O-HDO-DD,3,3,True,265.88,37610.95230931247,0.71,0.000141,0.000166,-0.011355,-0.002287,-0.005629
D2O-HDO-DD,3,4,False,360.43,27744.638348639124,0.35,6.8e-05,5.9e-05,-0.001284,0.003104,0.006923
D2O-HDO-DD,3,5,False,504.49,19821.99845388412,1.3,0.000257,0.000159,0.00063,-0.010095,0.007531
D2O-HDO-DD,3,6,False,1317.62,7589.441568889361,0.02,4e-06,1e-06,0.000611,0.000219,0.00064
D2O-HDO-DD,3,7,False,1536.65,6507.662772915107,0.07,1.3e-05,3e-06,-0.000924,-0.000357,-0.001305
D2O-HDO-DD,3,8,False,2786.95,3588.151922352393,0.55,0.000109,1.2e-05,-0.003458,1e-06,-0.000485
D2O-HDO-DD,3,9,False,2873.8,3479.7132716264177,0.07,1.3e-05,1e-06,-0.000486,-0.000783,-0.000759
D2O-HDO-DD,3,10,False,2901.4,3446.611980423244,0.35,6.8e-05,7e-06,-0.002638,-8.8e-05,-0.000615
D2O-HDO-DD,3,11,False,3862.58,2588.9431416307234,0.1,2e-05,2e-06,-0.000574,-9.3e-05,-0.001143
D2O-HDO-DD,4,4,True,418.52,23893.720730192108,2.51,0.000496,0.00037,0.017282,-0.000728,0.008412
D2O-HDO-DD,4,5,False,598.78,16700.624603360167,0.07,1.3e-05,7e-06,0.002309,-0.001144,0.00033
D2O-HDO-DD,4,6,False,1410.25,7090.941322460557,0.11,2.1e-05,5e-06,-0.00205,-0.000507,-0.000489
D2O-HDO-DD,4,7,False,1636.15,6111.909054793265,0.25,4.9e-05,9e-06,0.002982,-0.000624,4.4e-05
D2O-HDO-DD,4,8,False,2894.7,3454.58942204719,0.56,0.00011,1.2e-05,0.003289,-2.7e-05,0.001018
D2O-HDO-DD,4,9,False,2972.71,3363.9339188820973,0.21,4.2e-05,4e-06,0.001794,0.000614,0.000881
D2O-HDO-DD,4,10,False,3003.01,3329.992241118078,0.05,1e-05,1e-06,-0.000731,-0.000314,-0.000669
D2O-HDO-DD,4,11,False,3962.07,2523.933196536154,0.39,7.7e-05,6e-06,0.002048,-0.00066,0.001185
D2O-HDO-DD,5,5,True,717.79,13931.651318630798,0.67,0.000132,5.8e-05,0.006997,0.000494,0.002898
D2O-HDO-DD,5,6,False,1568.38,6376.005814917303,0.04,7e-06,1e-06,2.6e-05,0.001154,-0.000368
D2O-HDO-DD,5,7,False,1783.28,5607.644340765331,0.07,1.4e-05,2e-06,0.00149,-0.000242,0.000338
D2O-HDO-DD,5,8,False,3050.17,3278.505788201969,0.02,5e-06,0.0,0.000462,0.000374,0.000377
D2O-HDO-DD,5,9,False,3118.8,3206.3614210593814,0.02,4e-06,0.0,0.000401,-0.0005,1.4e-05
D2O-HDO-DD,5,10,False,3154.79,3169.783091743032,0.06,1.1e-05,1e-06,5.1e-05,-0.00087,0.00061
D2O-HDO-DD,5,11,False,4108.25,2434.1264528692263,0.09,1.7e-05,1e-06,0.000248,-0.000269,0.001087
D2O-HDO-DD,6,6,True,2338.22,4276.757533508396,0.04,7e-06,1e-06,-0.0005,0.000368,0.000765
D2O-HDO-DD,6,7,False,2578.76,3877.8327568288632,0.0,0.0,0.0,-0.000181,2e-05,-4.6e-05
D2O-HDO-DD,6,8,False,3817.83,2619.2889678167967,0.55,0.00011,9e-06,0.002979,-0.000147,0.000283
D2O-HDO-DD,6,9,False,3915.41,2554.010946490917,0.0,0.0,0.0,-0.000122,-9.8e-05,-5.9e-05
D2O-HDO-DD,6,10,False,3940.78,2537.568704672679,1.76,0.000348,2.8e-05,0.00499,-0.000972,-0.001313
D2O-HDO-DD,6,11,False,4904.44,2038.968771154301,0.0,1e-06,0.0,-5.2e-05,3.1e-05,-0.000191
D2O-HDO-DD,7,7,True,2776.32,3601.890272014753,2.83,0.000561,6.3e-05,0.002221,0.007314,-0.002152
